issuing equity securities
expects equity securities
through equity financing
sources equity financing
seek equity investments
seek equity financings
access equity markets
raised equity arrangements
undertake equity offerings
sell common stock
issuing common stock
selling common stock
use equity offerings
offering equity securities
planned equity offering
seek equity offering
raise equity offering
equity offering would add
additional equity offering
considering equity offering
seek equity financing
pursue equity offering
consummates equity offering
raises equity capital
raise equity offering
sources equity offering
